path,timestamps,Total Delay
"['ui_server', 'purchase_book_server', 'gift_wrap_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'seasonal_adjustments', 'review', 'ad', 'customer_support']","['03:34:38.96', '03:34:38.99', '03:34:39.12', '03:34:39.13', '03:34:39.31', '03:34:39.86', '03:34:40.04', '03:34:40.06', '03:34:40.19', '03:34:40.54', '03:34:41.33', '03:34:42.48', '03:34:42.60', '03:34:42.98', '03:34:43.21', '03:34:44.15', '03:34:45.05', '03:34:46.09', '03:34:46.67', '03:34:47.37']",7.69
"['ui_server', 'purchase_book_server', 'book_availability_server', 'user_credentials', 'user_history', 'card_check', 'american_express', 'limit_check_american_express', 'currency_conversion', 'shipping_options', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['09:15:54.73', '09:15:54.75', '09:15:55.01', '09:15:55.61', '09:15:55.63', '09:15:55.92', '09:15:56.30', '09:15:56.94', '09:15:57.75', '09:15:57.97', '09:15:58.23', '09:15:59.07', '09:15:59.48', '09:16:00.40', '09:16:01.00', '09:16:01.49', '09:16:01.89', '09:16:02.61']",7.05
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'review', 'ad', 'customer_support']","['20:08:10.25', '20:08:10.27', '20:08:10.47', '20:08:10.71', '20:08:11.38', '20:08:11.69', '20:08:11.72', '20:08:11.99', '20:08:12.40', '20:08:13.62', '20:08:13.86', '20:08:14.08', '20:08:14.48', '20:08:15.34', '20:08:16.57', '20:08:17.34', '20:08:18.01']",6.78
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'ad', 'customer_support']","['15:42:44.26', '15:42:44.28', '15:42:44.48', '15:42:45.24', '15:42:45.37', '15:42:45.38', '15:42:45.58', '15:42:45.99', '15:42:47.12', '15:42:47.23', '15:42:47.44', '15:42:48.66', '15:42:49.07', '15:42:49.95', '15:42:50.60', '15:42:51.03', '15:42:51.80']",6.75
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'fraud_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'review_analysis', 'ad', 'customer_support']","['23:01:18.43', '23:01:18.44', '23:01:18.77', '23:01:19.02', '23:01:19.47', '23:01:19.84', '23:01:19.87', '23:01:19.98', '23:01:20.39', '23:01:21.22', '23:01:21.49', '23:01:21.70', '23:01:21.99', '23:01:22.22', '23:01:23.03', '23:01:23.92', '23:01:24.79', '23:01:25.49', '23:01:26.25', '23:01:26.97', '23:01:27.62']",8.63
"['ui_server', 'purchase_book_server', 'book_availability_server', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'inventory_update', 'review', 'ad', 'customer_support']","['07:55:21.67', '07:55:21.69', '07:55:21.85', '07:55:22.27', '07:55:22.29', '07:55:22.51', '07:55:22.82', '07:55:23.34', '07:55:24.57', '07:55:24.69', '07:55:24.92', '07:55:26.05', '07:55:27.08', '07:55:27.76', '07:55:28.44']",5.73
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'mastercard', 'limit_check_mastercard', 'fraud_check_mastercard', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'seasonal_adjustments', 'review', 'review_verification', 'ad', 'customer_support']","['08:34:10.80', '08:34:10.81', '08:34:10.99', '08:34:11.45', '08:34:11.78', '08:34:11.80', '08:34:11.93', '08:34:12.08', '08:34:12.80', '08:34:13.84', '08:34:14.05', '08:34:14.39', '08:34:14.57', '08:34:14.95', '08:34:16.23', '08:34:17.16', '08:34:18.23', '08:34:18.87', '08:34:19.36', '08:34:19.93']",8.14
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'shipping_insurance', 'inventory_update', 'review', 'review_verification', 'ad', 'customer_support']","['21:41:24.95', '21:41:24.98', '21:41:25.10', '21:41:25.46', '21:41:25.97', '21:41:26.21', '21:41:26.23', '21:41:26.59', '21:41:27.17', '21:41:28.36', '21:41:28.68', '21:41:28.81', '21:41:29.25', '21:41:30.47', '21:41:31.68', '21:41:32.39', '21:41:33.13', '21:41:33.92']",8.12
"['ui_server', 'purchase_book_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'american_express', 'limit_check_american_express', 'fraud_check_american_express', 'currency_conversion', 'shipping_options', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'ad', 'customer_support']","['05:40:16.74', '05:40:16.77', '05:40:16.94', '05:40:17.51', '05:40:17.76', '05:40:17.79', '05:40:18.05', '05:40:18.36', '05:40:19.01', '05:40:19.95', '05:40:20.29', '05:40:20.39', '05:40:20.78', '05:40:21.88', '05:40:22.51', '05:40:23.31', '05:40:23.99', '05:40:24.59', '05:40:25.10']",7.67
"['ui_server', 'purchase_book_server', 'discount_server', 'book_availability_server', 'bundle_offer', 'user_credentials', 'user_history', 'card_check', 'visa', 'limit_check_visa', 'currency_conversion', 'shipping_options', 'express_delivery', 'inventory_update', 'supplier_notification', 'review', 'review_verification', 'ad', 'customer_support']","['03:28:47.33', '03:28:47.35', '03:28:47.69', '03:28:47.83', '03:28:48.60', '03:28:48.77', '03:28:48.79', '03:28:49.01', '03:28:49.18', '03:28:49.82', '03:28:50.76', '03:28:51.11', '03:28:51.40', '03:28:51.58', '03:28:52.65', '03:28:53.16', '03:28:54.13', '03:28:54.78', '03:28:55.52', '03:28:56.09']",7.86
