<user, ui_server_11, 0, Request, 0000001369>
<user, ui_server_20, 0, Request, 0000001853>
<user, ui_server_14, 1, Request, 0000001179>
<user, ui_server_4, 1, Request, 0000001086>
<user, ui_server_15, 2, Request, 0000001962>
<user, ui_server_14, 2, Request, 0000001458>
<ui_server_11, purchase_book_server_7, 3, Request, 0000001369>
<ui_server_4, purchase_book_server_2, 4, Request, 0000001086>
<user, ui_server_15, 4, Request, 0000001386>
<ui_server_14, purchase_book_server_2, 6, Request, 0000001458>
<ui_server_14, purchase_book_server_8, 7, Request, 0000001179>
<purchase_book_server_7, book_availability_server_5, 8, Request, 0000001369>
<user, ui_server_7, 9, Request, 0000001188>
<ui_server_15, purchase_book_server_5, 9, Request, 0000001386>
<purchase_book_server_2, discount_server_4, 9, Request, 0000001086>
<user, ui_server_13, 10, Request, 0000001186>
<purchase_book_server_2, book_availability_server_8, 10, Request, 0000001458>
<ui_server_15, purchase_book_server_5, 10, Request, 0000001962>
<ui_server_20, purchase_book_server_6, 11, Request, 0000001853>
<user, ui_server_4, 11, Request, 0000001163>
<ui_server_7, purchase_book_server_5, 12, Request, 0000001188>
<user, ui_server_15, 12, Request, 0000001899>
<user, ui_server_16, 12, Request, 0000001680>
<user, ui_server_20, 13, Request, 0000001327>
<ui_server_4, purchase_book_server_3, 14, Request, 0000001163>
<user, ui_server_2, 15, Request, 0000001713>
<discount_server_4, book_availability_server_1, 15, Request, 0000001086>
<user, ui_server_2, 15, Request, 0000001657>
<purchase_book_server_5, book_availability_server_8, 15, Request, 0000001962>
<ui_server_15, purchase_book_server_4, 16, Request, 0000001899>
<user, ui_server_9, 16, Request, 0000001641>
<ui_server_2, purchase_book_server_3, 17, Request, 0000001657>
<purchase_book_server_8, discount_server_3, 17, Request, 0000001179>
<purchase_book_server_5, book_availability_server_6, 17, Request, 0000001188>
<ui_server_13, purchase_book_server_4, 17, Request, 0000001186>
<ui_server_2, purchase_book_server_4, 17, Request, 0000001713>
<user, ui_server_10, 17, Request, 0000001644>
