Logs
"<user, ui_server_11, 3, Request, 0000000090>"
"<ui_server_11, purchase_book_server_1, 8, Request, 0000000090>"
"<user, ui_server_12, 10, Request, 0000000070>"
"<user, ui_server_12, 11, Request, 0000000270>"
"<purchase_book_server_1, discount_server_1, 13, Request, 0000000090>"
"<ui_server_12, purchase_book_server_9, 15, Request, 0000000270>"
"<ui_server_12, purchase_book_server_8, 18, Request, 0000000070>"
"<user, ui_server_14, 20, Request, 0000000398>"
"<user, ui_server_5, 20, Request, 0000000003>"
"<discount_server_1, book_availability_server_7, 21, Request, 0000000090>"
"<user, ui_server_8, 21, Request, 0000000238>"
"<ui_server_5, purchase_book_server_9, 23, Request, 0000000003>"
"<ui_server_8, purchase_book_server_2, 24, Request, 0000000238>"
"<ui_server_14, purchase_book_server_1, 27, Request, 0000000398>"
"<purchase_book_server_9, gift_wrap_server_1, 27, Request, 0000000270>"
"<purchase_book_server_2, book_availability_server_7, 28, Request, 0000000238>"
"<purchase_book_server_8, discount_server_2, 28, Request, 0000000070>"
"<gift_wrap_server_1, discount_server_4, 29, Request, 0000000270>"
"<user, ui_server_9, 29, Request, 0000000123>"
"<user, ui_server_9, 29, Request, 0000000269>"
"<user, ui_server_18, 31, Request, 0000000294>"
"<ui_server_9, purchase_book_server_5, 32, Request, 0000000269>"
"<purchase_book_server_9, discount_server_2, 33, Request, 0000000003>"
"<discount_server_2, gift_wrap_server_1, 33, Request, 0000000070>"
"<ui_server_9, purchase_book_server_1, 34, Request, 0000000123>"
"<gift_wrap_server_1, book_availability_server_3, 34, Request, 0000000070>"
"<purchase_book_server_1, book_availability_server_6, 34, Request, 0000000398>"
"<user, ui_server_11, 34, Request, 0000000202>"
"<discount_server_4, book_availability_server_6, 35, Request, 0000000270>"
"<ui_server_18, purchase_book_server_10, 37, Request, 0000000294>"
"<book_availability_server_7, user_credentials_server_1, 38, Request, 0000000090>"
"<ui_server_11, purchase_book_server_8, 38, Request, 0000000202>"
"<purchase_book_server_5, discount_server_1, 38, Request, 0000000269>"
"<purchase_book_server_1, book_availability_server_1, 38, Request, 0000000123>"
"<discount_server_2, gift_wrap_server_1, 40, Request, 0000000003>"
"<user_credentials_server_1, card_check_server_6, 41, Request, 0000000090>"
"<gift_wrap_server_1, book_availability_server_7, 43, Request, 0000000003>"
"<user, ui_server_12, 43, Request, 0000000380>"
"<discount_server_1, gift_wrap_server_1, 44, Request, 0000000269>"
"<book_availability_server_7, user_credentials_server_2, 44, Request, 0000000238>"
"<user, ui_server_6, 45, Request, 0000000134>"
"<purchase_book_server_10, gift_wrap_server_1, 45, Request, 0000000294>"
"<user_credentials_server_2, card_check_server_2, 45, Request, 0000000238>"
"<user, ui_server_14, 46, Request, 0000000253>"
"<user, ui_server_15, 46, Request, 0000000328>"
"<user, ui_server_5, 46, Request, 0000000008>"
"<gift_wrap_server_1, book_availability_server_4, 47, Request, 0000000269>"
"<card_check_server_6, visa_server_1, 47, Request, 0000000090>"
"<gift_wrap_server_1, book_availability_server_1, 47, Request, 0000000294>"
"<user, ui_server_3, 47, Request, 0000000251>"
"<book_availability_server_3, bundle_offer_server_2, 48, Request, 0000000070>"
"<book_availability_server_6, bundle_offer_server_1, 48, Request, 0000000270>"
"<user, ui_server_6, 48, Request, 0000000348>"
"<user, ui_server_4, 48, Request, 0000000286>"
"<ui_server_3, purchase_book_server_10, 48, Request, 0000000251>"
"<ui_server_5, purchase_book_server_2, 49, Request, 0000000008>"
"<ui_server_6, purchase_book_server_4, 49, Request, 0000000134>"
